AUX1415g-9-1.sol;54;function owned() public {
AUX1415g-9-2.sol;90;function aux1415g() public {
AbToken-1-1.sol;15;/** @dev Throws if called by any account other than the owner.
AbToken-1-3.sol;368;/** @dev Function to mint tokens
AbToken-10-1.sol;358;string public name = 'Absolon Token (Released)';
AbToken-10-2.sol;360;string public symbol = 'Absolon';
AbToken-10-3.sol;362;uint8 public decimals = 18;
AbToken-10-4.sol;364;uint256 public INITIAL_SUPPLY = 0;
AbToken-10-5.sol;366;uint256 public MAX_SUPPLY = (((100 * 10000) * 10000) * ((10 ** uint256(decimals))));
AbToken-12-1.sol;55;if ((int(a) == 0)) {
AbToken-12-37.sol;278;require((int(_cap) > 0));
AbToken-12-49.sol;366;uint256 public constant MAX_SUPPLY = (((100 * 10000) * 10000) * ((10 ** uint256(int(decimals)))));
AbToken-16-1.sol;19;owner = 0x0000000000000000000000000000000000000001;
AbToken-17-1.sol;58;c = (a / b);
AbToken-17-2.sol;79;c = (a - b);
AbToken-2-1.sol;1;/** @title Ownable
AbToken-20-1.sol;238;address public owner;
AbToken-20-2.sol;275;address public owner;
AbToken-20-3.sol;296;address public owner;
AbToken-20-4.sol;334;address public owner;
AbToken-20-5.sol;358;address public owner;
AbToken-23-1.sol;55;{
AbToken-28-1.sol;131;balances[msg.sender] = balances[msg.sender].sub(_value);
AbToken-28-2.sol;165;require((_value <= allowed[_from][msg.sender]));
AbToken-28-3.sol;166;balances[_from] = balances[_from].sub(_value);
AbToken-28-4.sol;288;return super.mint(_to, _amount);
AbToken-3-1.sol;223;uint oldValue;
AbToken-35-1.sol;33;emit OwnershipTransferred(owner, newOwner);
AbToken-35-2.sol;130;require((_value <= balances[msg.sender]));
AbToken-35-3.sol;131;balances[msg.sender] = balances[msg.sender].sub(_value);
AbToken-35-4.sol;164;require((_value <= balances[_from]));
AbToken-35-5.sol;165;require((_value <= allowed[_from][msg.sender]));
AbToken-35-6.sol;166;balances[_from] = balances[_from].sub(_value);
AbToken-35-7.sol;278;cap = _cap;
AbToken-35-8.sol;288;return super.mint(_to, _amount);
AbToken-38-1.sol;25;_;
AbToken-38-2.sol;131;balances[msg.sender] = balances[msg.sender].sub(_value);
AbToken-38-3.sol;166;balances[_from] = balances[_from].sub(_value);
AbToken-39-1.sol;25;require((tx.origin == owner));
AbToken-39-2.sol;131;require((_value <= balances[tx.origin]));
AbToken-39-3.sol;166;require((_value <= allowed[_from][tx.origin]));
AbToken-40-8.sol;356;contract AbToken is BasicToken, CappedToken, PausableToken {
AbToken-43-1.sol;154;contract StandardToken is BasicToken, ERC20 {
AbToken-43-4.sol;356;contract AbToken is PausableToken, CappedToken {
AbToken-45-1.sol;9;address internal owner;
AbToken-45-2.sol;242;bool internal mintingFinished = false;
AbToken-45-3.sol;275;uint256 internal cap;
AbToken-45-4.sol;300;bool internal paused = false;
AbToken-45-5.sol;358;string internal constant name = 'Absolon Token (Released)';
AbToken-45-6.sol;360;string internal constant symbol = 'Absolon';
AbToken-45-7.sol;362;uint8 internal constant decimals = 18;
AbToken-45-8.sol;364;uint256 internal constant INITIAL_SUPPLY = 0;
AbToken-45-9.sol;366;uint256 internal constant MAX_SUPPLY = (((100 * 10000) * 10000) * ((10 ** uint256(decimals))));
AbToken-5-1.sol;19;}
AbToken-5-2.sol;279;}
AbToken-5-3.sol;371;balances[msg.sender] = INITIAL_SUPPLY;
AbToken-5-4.sol;372;emit Transfer(0x0, msg.sender, INITIAL_SUPPLY);
AbToken-6-1.sol;242;bool public mintingFinished;
AbToken-6-2.sol;300;bool public paused;
AbToken-9-1.sol;18;function ownable() public {
Abdurahman-1-1.sol;63;function transferOwnership(address addr) public onlyOwner() {
Abdurahman-10-1.sol;11;uint public MASS_TRANSACTION_LIMIT = 150;
Abdurahman-10-2.sol;13;uint public MINIMUM_INVEST = 10000000000000000 wei;
Abdurahman-10-3.sol;15;uint public INTEREST = 4;
Abdurahman-12-28.sol;148;for (uint idx = ((addresses.length - offset) - 1); ((int(idx) >= 1) && (txs < MASS_TRANSACTION_LIMIT)); (idx--)) {
Abdurahman-12-42.sol;181;for (uint i = (addresses.length - 1); (int(i) > 0); (i--)) {
Abdurahman-16-1.sol;64;Owner = 0x0000000000000000000000000000000000000001;
